title,area,property_type,price_annual,bedrooms,bathrooms,toilets,has_pool,has_gym,has_parking,has_bq,has_elevator,is_newly_built,is_furnished,is_serviced,has_security,has_generator,has_ac,has_wifi,has_water
Self contain (single rooms) for rent,Ikate Lekki,Apartment,500000.0,1.0,1.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Oniru Victoria Island (Vi),Apartment,10500000.0,3.0,2.0,3.0,1,0,1,0,1,0,1,1,0,1,0,0,0
4 bedroom terraced duplex for rent,Ikoyi,Duplex,35000000.0,4.0,4.0,5.0,1,1,1,1,0,0,0,1,1,0,0,0,0
4 bedroom terraced duplex for rent,Oniru Victoria Island (Vi),Duplex,40000000.0,4.0,4.0,5.0,1,1,0,1,0,1,0,1,1,0,1,0,0
3 bedroom flat / apartment for rent,Millennium Estate Gbagada,Apartment,7000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 bedroom house for rent,Millennium Estate Gbagada,Apartment,7000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Old Ikoyi Ikoyi,Apartment,40000000.0,2.0,2.0,3.0,0,0,1,0,1,0,1,1,1,1,1,0,0
4 bedroom semi-detached duplex for rent,Orchid Road Lekki,Duplex,15000000.0,4.0,4.0,5.0,0,0,0,1,0,0,0,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Lekki Phase 1 Lekki,Apartment,13000000.0,3.0,3.0,4.0,0,0,0,1,0,0,0,0,0,0,0,0,0
3 bedroom flat / apartment for rent,Ikate Lekki,Apartment,16000000.0,3.0,3.0,4.0,1,1,0,0,0,0,1,1,1,0,0,0,0
4 bedroom flat / apartment for rent,Banana Island Road Ikoyi,Apartment,45000000.0,4.0,4.0,5.0,0,0,0,1,0,1,0,1,0,0,0,0,0
3 bedroom terraced duplex for rent,Ikate Lekki,Duplex,10000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,1,1,0,0,0,0
3 bedroom detached bungalow for rent,Victoria Island (Vi),Duplex,220000000.0,3.0,3.0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0
1 bedroom mini flat (room and parlour) for rent,Opposite Beechwood Estate Ibeju Lekki,Apartment,800000.0,1.0,1.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Ologolo Lekki,Apartment,6500000.0,2.0,2.0,3.0,0,0,0,0,0,0,0,1,0,1,0,0,0
12 bedroom semi-detached duplex for rent,Off Adeola Odeku Victoria Island (Vi),Duplex,120000000.0,8.0,8.0,10.0,0,0,0,1,0,0,0,0,1,0,0,0,0
3 bedroom flat / apartment for rent,Off Adeola Odeku Street Victoria Island Victoria Island (Vi),Apartment,35000000.0,3.0,3.0,5.0,1,1,0,1,1,0,1,1,1,0,0,0,0
3 bedroom terraced duplex for rent,Ikeja Gra Ikeja,Duplex,40000000.0,3.0,3.0,5.0,0,0,0,1,0,0,1,0,0,0,0,0,0
4 bedroom detached duplex for rent,Gra Phase 1 Magodo,Duplex,17000000.0,4.0,4.0,5.0,0,0,0,1,0,1,0,0,1,0,0,0,0
3 bedroom flat / apartment for rent,Victoria Island (Vi),Apartment,31000000.0,3.0,3.0,4.0,0,0,0,0,0,0,1,1,0,0,0,0,0
3 bedroom flat / apartment for rent,Oniru Victoria Island (Vi),Apartment,35000000.0,3.0,3.0,4.0,0,0,1,0,0,0,1,1,1,1,0,0,0
1 bedroom mini flat (room and parlour) for rent,Ojodu,Apartment,1600000.0,1.0,1.0,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0
3 bedroom terraced duplex for rent,Allen Ikeja,Duplex,13000000.0,3.0,3.0,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 bedroom flat / apartment for rent,Governors Rd Ikotun,Apartment,3500000.0,2.0,3.0,3.0,0,0,0,0,0,0,1,0,0,0,1,0,0
